OBSID,teacher_turn_idx,teacher_text,student_turn_idx,student_text,matched_keywords,context_window,is_shutdown,confidence,reasoning
736,265,Nope. We’re doing how many colored in.,264,One-fifth.,nope,"[student] [Inaudible]
[teacher] Hold on.  Hold on.  We’re not finished with Student B yet. Make sure you put it back where it was so we remember.  One- half.
[student] [One-seventh.]
[teacher] One-half.
[student] So lucky.
[student] Oh yeah.  I’m in first place.
[teacher] Okay.  Your turn.
[student] Two-thirds.
[student] Ooh.  That’s the one I picked.
[student] One-fifth.
[teacher] Nope.  We’re doing how many colored in. <<<
[student] Oh.
[teacher] How many are colored?",True,0.65,Teacher dismisses student's fraction answer with minimal redirection and no engagement with why one-fifth was offered.
750,97,Nope.,96,"Two, two.",nope,"[teacher] [Inaudible] come and plot three, zero.  When I say your name. Student D plot three, zero.
[teacher] All right, good job.  Yes.  So we started at zero.  Our first coordinate is three.  We moved to the right three times. One, two, three.  Our second coordinate is zero and we stay where we are.  Good job.  You plot your point, write your coordinates in parenthesis separated by a comma.  Now let’s see if we can take it a step further.  Let’s pretend this grid right here is actually a neighborhood and here’s where my house is.  Somebody raise your hand and tell me [inaudible] and tell me what’s the coordinates for my house?  Student K.
[student] Five, four.
[teacher] My house is at five, four.  So even when the point is already on the grid, you can still locate it because the same rules apply.  You start at zero, move across, one, two, three, four, five.  I’m on this spot.  I’m goin’ up four times, one, two, three, four.  So my house is at five, four.  My house is at five, four.  But let’s say I’m home.  Let’s say I’m home and I need to go to the store.  I don’t know how to draw a store but that’s a store.  Let’s say I’m home and I want to go to the store.
[teacher] I need you to tell me how I get from my house to the store. Remember you always move horizontally first.  Tell me, do I need to go left, right how many times?  Do I need to go up, down and how many times?  Horizontally is always first.  So do I need to go left or right?  If so, how many times.  And do I need to go up or down and if so, how many times? Student M?
[student] Go left two times.
[teacher] I have to so left two times, so one, two and then I go?
[student] Down two times.
[teacher] Down two times, one two.  Now what is the coordinates for the store?
[student] Two, two.
[teacher] Nope. <<<
[student] Three and two.
[teacher] Who says three, two?  Student K, three two because I’m still starting at zero goin’ across three and then up two.  Good job.  When I pick your name you can get a laptop and practice on a computer.  The rest of us are gonna start off on the paper and then we’ll switch.  Student J, you get a laptop.  Student J, Student T. Two more.  Student K.  One more.  Student P is not here.  One more.  Student M. Everybody’s gonna do it, just –",True,0.75,"Teacher gives bare 'Nope' to student's coordinate answer without explaining why (2,2) is incorrect."
821,394,Nope. Student D?,393,"624, oh, never mind.",nope,"[teacher] Yes, this is the part where you have to have your answer in your mouth before you raise your hand.  It’s got to be there ready to burst out the second I call on you.  Okay?
[student] Multiply by tens, 50.
[teacher] Multiply by tens, 50.
[student] We already did it.
[teacher] No.
[student] [Inaudible.]
[teacher] You did 40.
[student] Oh.
[teacher] Ready?  “Ramona likes to go hiking once a week.  Her favorite trail is 12 miles long.  She hiked that trail 52 times last year.  About how many total miles did Ramona hike?” Student S?
[student] 624, oh, never mind.
[teacher] Nope.  Student D? <<<
[student] Um, 500 miles.
[teacher] Correct.  You all would lose 50 points, ’cause you tried first and lost.",True,0.85,Teacher dismisses student's answer with 'Nope' then immediately calls on another student without engaging with reasoning.
821,584,"Nope. What do you need to multiply, Student T?",583,you need to multiply 400 times –,nope,"[student] I cannot understand your body language.
[teacher] Time is running out.  Student N?
[student] B.
[student] I closed my mouth
[teacher] She said B.
[student] Yeah, yeah.
[teacher] No.
[student] It’s C.
[teacher] Here’s the reason why.  What two numbers do you need to multiply, Student C?
[student] [Inaudible] you need to multiply 400 times –
[teacher] Nope.  What do you need to multiply, Student T? <<<
[student] 59 times 8.
[teacher] Nope.",True,0.8,Teacher dismisses student's mathematical approach and immediately redirects to another student without engaging with the reasoning.
821,586,Nope.,585,59 times 8.,nope,"[student] B.
[student] I closed my mouth
[teacher] She said B.
[student] Yeah, yeah.
[teacher] No.
[student] It’s C.
[teacher] Here’s the reason why.  What two numbers do you need to multiply, Student C?
[student] [Inaudible] you need to multiply 400 times –
[teacher] Nope.  What do you need to multiply, Student T?
[student] 59 times 8.
[teacher] Nope. <<<
[student] Oh, what?
[student] About.",True,0.85,Teacher gives bare 'Nope' to student's multiplication answer with no explanation or scaffolding.
826,62,Nope. Raise your hand. Student C?,61,One half.,nope,"[teacher] Volume is the amount of space a solid figure occupies.  And when we measure volume, we usually do like cubic centimeters or cubic meters or cubic squares, cubic yards. We use those terms when we measure volume.  So the units we measure in are cubic centimeters.  And that looks like this, cm with a little 3.  Why do you think we use that?
[student] Cubic centimeters [inaudible].
[student] Cubic [inaudible].
[teacher] Thank you.  Very good.  Cubic meter which is like m with a little 3, meters cubed – cubic meter, excuse me.  Then we have cubic inch.  And that looks like this.  Cubic foot looks like this.  And cubic yard looks this.  The formula, who knows – does anybody know the formula for volume?
[student] [Sneeze].
[teacher] Bless you.
[student] Thank you.
[teacher] The formula for volume is length times width and there's one other piece, times does anybody know?
[student] Area.
[student] One half.
[teacher] Nope.  Raise your hand.  Student C? <<<
[student] Area.
[teacher] No.  Remember, we're measuring how much space a solid figure occupies.  So this is not measuring – we can't measure volume with this.  This is the area.  If we wanted to measure volume we would have to do something else to this figure.  What would we have to do?",True,0.8,Teacher dismisses student's answer 'one half' for volume formula and calls on another student without explanation.
841,99,Nope. I’m thinking of one word that was a key word. Student A?,98,I think it was how many times does ?,nope,"[student] Divide top divided by bottom.
[teacher] No, you only do top divided by bottom when it’s top heavy.
[teacher] Okay.  You want to call someone else up to help you?
[student] [Inaudible] how many times can five go into ten?
[student] Twice.
[student] [Inaudible].
[teacher] So, Student T said one key word, there.  Do you know what the key word was?
[student] Divide?
[teacher] No.  Close.  Do know what your key word was, Student T? Student P, do you know what her key word was?
[student] I think it was how many times does [Inaudible]?
[teacher] Nope.  I’m thinking of one word that was a key word.  Student A? <<<
[student] [Inaudible].
[teacher] No.  That’s what Student T said.",True,0.7,Teacher dismisses student's attempt to identify the key word and calls on another student without engaging with the reasoning.
998,159,Nope.,158,X 5 7.,nope,"[teacher] This is just not paying attention.
[student] [Inaudible].
[teacher] No.
[student] No.
[student] You start with your parentheses.
[teacher] Thank you.
[multiple students] Yay.  [Inaudible].
[teacher] So that is one.  What is the next step in this process?  No.
[student] I don't know.
[student] X 5 7.
[teacher] Nope. <<<
[student] [Inaudible].
[teacher] And what is 56 and seven?",True,0.75,Teacher gives bare 'Nope' to student's mathematical answer with no explanation or scaffolding.
1101,315,Nope.,314,7 on top of 7 at the bottom.,nope,"[teacher] All right, excuse you, Student R.  I told you all.  This is what happens when you get distracted and you do everything else.  Your main focus should be – your main focus, you all got to concentrate on this stuff because the slightest distraction will mess you up.
[student] [Inaudible]
[teacher] So that's where it was.  So now you carry over and, by the way, there's a question similar to this on your pretest, so heads-up.
[student] So it's a [inaudible]?
[teacher] I'm not sure which one it is, but it might be something similar.  All right, so now that should be the number that you're carrying over.
[student] I need help with this part.
[teacher] Student I [inaudible].
[student] 7 plus 7 is 14.
[teacher] Where do you see 7 plus 7?
[student] 7 on top of 7 at the bottom.
[teacher] Nope. <<<
[student] That’s 7 –
[teacher] 7 plus 4.",True,0.8,Teacher gives bare 'Nope' to student's mathematical observation about the numbers without explanation.
1140,155,Nope.,154,It would be negative -,nope,"[teacher] I start with the parenthesis, first, yes.
[student] Positive four.  [Crosstalk].
[teacher] Four.
[student] And then, three plus one.
[teacher] I’m not - [crosstalk].
[student] [Inaudible] one plus six.
[teacher] As people scream out – you should know this.  Every time I do these, I write it all the way out.
[student] Negative six, plus -
[teacher] So now what do I do?
[student] It would be negative -
[teacher] Nope. <<<
[student] You multiply
[teacher] I multiply.  What do I multiply?",True,0.8,Teacher gives bare 'Nope' to student's mathematical step about negative numbers without explaining why.
2056,6,"Nope, Student B?",5,Two and two-tenths.,nope,"[teacher] All right, we’re going to go ahead and get started on math. We’re going to go over our homework from last night, first. So go ahead and take that out with your red pens, please. Does anybody have any questions about the homework before we get started?  Remember we do have a test tomorrow. All right, number 16, what did you get for your answer?  Number 16, Student J?
[student] For my answer I got zero decimal nine.
[teacher] Say it like it’s supposed to.
[student] Nine-tenths.
[teacher] Nine-tenths is the correct answer, nine-tenths.  What is the next one, number 17, Student M?
[student] Two and two-tenths.
[teacher] Nope, Student B? <<<
[student] Two and two-hundredths.
[teacher] Two and two-hundredths.  Okay.  Number 18, Student C?",True,0.85,Teacher dismisses student's decimal answer and immediately calls on another student without explanation.
2396,220,Nope.,219,You can always go with the following numbers; the dollars. Or you can go $3.00 plus $1.00 –,nope,"[teacher] Fifteen.  Carry the one, drop the…?
[student] Five.
[teacher] Five.  Six plus four is…?
[multiple students] Ten.
[teacher] Plus one.
[multiple students] Eleven.
[teacher] Carry the one, drop the one, drop the decimal; five plus one? Six.  Plus two?
[multiple students] Eight.
[teacher] How much money has [Jazz Lady] spent on one, two, three objects?  $8.15.  The question is how much change?  What is my second equation going to be?  Student A?
[student] You can always go with the following numbers; the dollars.  Or you can go $3.00 plus $1.00 –
[teacher] Nope. <<<
[student] – plus $2.00.
[teacher] I don’t need a second strategy right now.  My question is she has spent $8.15, she used a $10.00 bill; she spent 10 – she had 10.",True,0.75,Teacher gives bare 'Nope' dismissing student's mathematical strategy without engaging with the approach.
2405,278,Nope. It’s one of – it’s -,277,Eighteen?,nope,"[teacher] See that?
[student] And they did [inaudible].
[teacher] Did you find out?
[student] Equals – 18 times 7 equals 100 and -
[teacher] But you have to show what it is.
[student] Equals – 10 equals 18.
[teacher] Eight plus ten does equal 18.  [Students working on problem]. Okay.  So, how are we going to split this in half?
[student] [Inaudible] right there?
[teacher] Okay.  Draw it.  Now, what number is this, over here?
[student] Eighteen?
[teacher] Nope.  It’s one of – it’s - <<<
[student] Seven?
[teacher] Okay.  Yep.  Seven.  And what did you break this down into?",True,0.6,Teacher dismisses student's answer with 'Nope' and incomplete explanation; minimal engagement with student's thinking.
2628,98,Nope. 6 plus 8!?,97,28.,nope,"[teacher] So it’s not count its?
[multiple students] Multiply!
[teacher] It’s?
[student] Add.
[teacher] Add it’s what Student J?
[student] Add.
[teacher] He said it add it. Oh God Student S I noticed on your card that two sides didn’t have a number, why? Help her out.
[student] You put the H that’s on the other side and then put the 6 that’s on top put it on the bottom, then you add both of the sides up and you make 28.
[teacher] Not both, you add all sides. So what’s 6 plus 8?
[student] 28.
[teacher] Nope. 6 plus 8!? <<<
[student] 14.
[teacher] 14 thank you. Plus 6 more?",True,0.7,Teacher dismisses student's perimeter answer with frustrated tone ('6 plus 8!?') implying the error should be obvious.
2944,340,"Go to your next rectangle. Nope. I want half. I want to see halves. Go to your next rectangle. Okay. I’m waiting for you. Find the new way so that Student M and Student A, you could both have an equal amount of that candy bar, okay? Well, you know what? You’re not at your next rectangle yet, so here. . I’m going to get a different, not chocolate bar – example for people, okay? It will be pizza, okay? Let’s see. I want to see another way to make one-half on your papers. Student M, shh. Are we done, girls?",339,You can do two-sixths.,nope,"[student] Yeah, you cut it in half.
[student] No, we didn’t.
[teacher] Okay.  I’m good right now.  I know that McKenzie and I are going to get the same amount.  We’re each going to get twelve small pieces.  [Inaudible].  Okay, now this is what I’m going to do next.  So are we all – are we all on the same page, now?  Are we all on the same page, now?
[student] Yeah, [inaudible].
[teacher] Okay, almost?  All right.  Now I cut my candy bar in half, and I gave half to Student M.  But we’re both going to get – we’re going to have to jog a little bit, right, Student M? Okay.  now this is what I want you to do.  I want you to do to your next rectangle.  Now it says four by six rectangle. So that means all of these rectangles are -
[student] Four by six.
[teacher] how many square units?
[student] [Inaudible].
[teacher] Twenty-four.  I want you to find another way – not the way that we used the first time – we could find another way to give me two equal pieces.  I want, I want a half.  Look at your – look at your paper.  I want you to find another way to cut that candy bar in half so that both Student C – no, Student C doesn’t like chocolate.  So Student M, and Student A get an equal number of pieces.  Go ahead.  Go to your next rectangle.
[student] You can do two-sixths.
[teacher] Go to your next rectangle.  Nope.  I want half.  I want to see halves.  Go to your next rectangle.  Okay.  I’m waiting for you.  Find the new way so that Student M and Student A, you could both have an equal amount of that candy bar, okay? Well, you know what?  You’re not at your next rectangle yet, so [inaudible] here.  [Inaudible]. I’m going to get a different, not chocolate bar – example for people, okay?  It will be pizza, okay?  Let’s see.  I want to see another way to make one-half on your papers. Student M, shh.  Are we done, girls? <<<
[multiple students] Yes.
[teacher] Okay.  Label it, like we labeled the first one.  I labeled this half, and this half, and I know that one half plus one half is the whole candy bar, okay?  Did you find a new way?  I’m looking to make sure that my centers are doing what my centers should be doing.",True,0.65,Teacher dismisses student's mathematical contribution of two-sixths without explaining why that equivalent fraction doesn't meet the goal.
4001,183,And – nope. What’s the other? A quadrilateral.,182,And a rhombus.,nope,"[teacher] You can’t put them all together.  Not when you have seventeen- tenths.
[student] I [inaudible].
[teacher] So now you know.
[student] I put four thousand -
[teacher] Now you know, so that when you get to Thursday’s [inaudible], you can do it.
[student] I put four thousand -
[teacher] What am I?  What’s that picture of?  What’s that picture of? Student J.  I mean Student J – sorry, I mean Student J. I’m looking right at you.  What?
[student] A trapezoid.
[teacher] a trapezoid.
[student] And a rhombus.
[teacher] And – nope.  What’s the other?  A quadrilateral. <<<
[student] Oh.
[teacher] How many degrees in a half- rotation, Student C?  A half rotation?  You could have used last weeks Weekly to help you.  What – do you remember what a full rotation is?",True,0.65,Teacher dismisses student's answer 'rhombus' and supplies the correct answer 'quadrilateral' without explaining why rhombus is wrong.
4661,585,"No, no, no. Nope.",584,eight.,"no_start,nope","[teacher] If I have one-fourth blue here, one fourth blue here, how many blue fourths do I have?  [Background conversations].
[student] One-fourth blue here.  One-fourth blue here.  That will be … two …
[teacher] Fourths, right?
[student] Fourths.
[teacher] I know.  I know.  He’s working hard.  I love his concentration. I love his concentration.  Okay, so do you see that what we did here, was one-fourth, plus one-fourth, equals two- fourths.
[student] Two-fourths.
[teacher] We added -
[student] One plus one equals two.
[teacher] Yep, and the bottom stays the same.  [Crosstalk].
[student] [Inaudible] eight.
[teacher] No, no, no.  Nope. <<<
[student] [Inaudible] eight.
[teacher] Nope, you need to remember that, too.  The bottom stays the same, because we’re still talking about fourths.  We’re not talking about eighths.  We’re talking about fourths, okay?",True,0.75,Teacher gives repeated dismissals without explaining why the student's answer of eight is incorrect.
4727,79,Don’t yell out. Nope.,78,a graph.,nope,"[teacher] Shh.
[student] What’s [inaudible].
[teacher] You have to know what it is.  It’s, “me, me, me.”  Take one.
[student] This one.
[teacher] Take one.  Take one.  Think about what – Oh, you want the gold? Think about a ray.  What does it remind you of?
[student] Like, a graph.
[teacher] Shh.  What object does it remind you of?
[student] A graph.
[student] Gold.
[student] [Inaudible] a graph.
[teacher] Don’t yell out.  Nope. <<<
[student] Ooh, look at this.  It’s gold.
[teacher] Next one.  Draw a line segment.",True,0.65,Teacher combines behavioral correction with dismissal of student's mathematical answer without explanation.
4727,621,Nope.,620,"Yeah, minus.",nope,"[student] It’s like it tells you -
[student] Oh, yeah.
[teacher] A?
[student] It tells you … [inaudible].  It tells you one fact about [inaudible].
[teacher] Okay, keep going, Student J.
[student] Well, that expression right there, it looks like 32 divided by eight.
[teacher] Is that divided by?
[student] Minus.
[teacher] What did -
[student] Yeah, minus.
[teacher] Nope. <<<
[student] [Inaudible].
[teacher] Yeah, okay.  So it’s like a number sentence, but what are they doing when you do this, do you know?  When there’s parenthesis, what do you think they’re doing?",True,0.7,Teacher gives bare 'Nope' to student's claim about minus/subtraction without explanation.
5,403,"That’s wrong. You need to fix that, honey. It’s 37 and one half percent.",402,One -and-a-half.,"thats_wrong,wrong","[student] 62 -and-a-half percent.
[teacher] You’ve gotta be learning these.  Okay.  And what’s three- eighths stand for?  What percent?
[student] [Inaudible.]
[student] One-third?
[teacher] Who can tell me what three-eighths stands for in percent? What’s three-eighths stand for?
[student] [Inaudible.]
[teacher] What is it?
[student] [Inaudible.]
[teacher] 37 -and-a-half percent.  What have you got?
[student] One -and-a-half.
[teacher] That’s wrong.  You need to fix that, honey.  It’s 37 and one half percent. <<<
[student] [Inaudible.]
[teacher] 37 and a half.  Okay.  Five-eighths.  Student C, what’s five- eighths.  Don’t put that on your mouth, please.  What’s five-eighths stand for, Student C?",True,0.8,Teacher says 'That's wrong' and gives the answer without engaging with how the student arrived at 'one-and-a-half' instead of 37.5%.
134,248,"That means that it’s done wrong, because you’re not concentrating. This is not about how fast you are, how efficient you are. Look at somebody’s paper, because you’ve got to explain to me how did you get the surface area. Look – look at the numbers, eight, 10, six, okay, and think about the surface area, surface area. If this is this, think about surface area.",247,Done.,wrong,"[student] Cubic.
[teacher] Cubic, [Inaudible].  You need the measurement.  I’m gonna tell you guys if you’re taking the [Inaudible] and you don’t put down the unit of measurement, they’re gonna mark it – they’re not gonna mark the whole thing wrong.  They’re gonna take points away from you, all right?  Some people – some teachers might just – like, I usually – when I correct papers like that, I just mark it wrong, okay?  That’s why [Inaudible] –
[student] Actually, I’m having trouble with the unit of measurement.
[teacher] Okay.  Right, okay, that’s because you need to concentrate. We’re not doing that, see?  Thank you.  All right, okay, now, the next thing that we need to do, all right, and I’m gonna leave you guys alone and I want you to work alone and pay attention.  Now we’re gonna think about something else. Now we’re no longer using volume.  But we’re gonna use the word square, okay, area, cubic.  This is the word that we need to see.  Where are they gonna fit, or just regular feet, or just regular 25 feet or 25 square feet or 25 cubic feet.  We need – we’re not doing that now.  We need to start thinking what are we doing next, all right?  So I want you to do the next exercise.  What I would like to happen, I would like you to find me –
[student] The surface area?
[teacher] The surface area of this figure, the surface area.  Okay, all right, don’t yell it out.  So everybody, don’t yell it out.
[student] Got it.
[teacher] Okay.  The surface area.  I’m just gonna walk around to see what is it that you’re doing.  The surface area.  I’m gonna give you a clue.  If you were the first – if you were the first person to say I got it –
[student] Got it.
[student] Done.
[teacher] That means that it’s done wrong, because you’re not concentrating.  This is not about how fast you are, how efficient you are.  Look at somebody’s paper, because you’ve got to explain to me how did you get the surface area.  Look – look at the numbers, eight, 10, six, okay, and think about the surface area, surface area.  If this is this, think about surface area. <<<
[student] Done.
[teacher] Okay.  [Inaudible]  Okay, you two – you and you, go compare answers.  Don’t yell it out, and see if you have the same thing.",True,0.7,"Teacher tells student who finished quickly 'That means it's done wrong' - dismissive assumption without checking work, though follows with some guidance."
150,188,"Oh, no, there’s more than four. You guys are wrong. How many’d you have?",187,Four but she fixed it.,wrong,"[student] The triangle —
[teacher] Please don’t bang the shape.  When you're done with that shape, put it up here.  Go on to your next shape.  Your next shape is a what?
[student] Cylinder.
[teacher] So find what the picture of the cylinder is.
[student] I used to have one just like that.
[teacher] I can’t believe it.  You have no recess today so you're at recess.
[student] That’s right.
[student] She knows that.
[teacher] So we’re waiting for Student E.  All right, you're counting this but this is the cube.  You're trying to fix them?  All right, do you see?  They had what?
[student] Four but she fixed it.
[teacher] Oh, no, there’s more than four.  You guys are wrong.  How many’d you have? <<<
[student] I counted —
[teacher] Read your writing.",True,0.65,"Teacher says 'You guys are wrong' about counting errors, somewhat dismissive but follows with a question."
