OBSID,teacher_turn_idx,teacher_text,student_turn_idx,student_text,alt_dialogic_teaching,alt_productive_failure,alt_uptake,alt_pressing_for_reasoning
736,265,Nope. We’re doing how many colored in.,264,One-fifth.,Tell me more about how you're seeing one-fifth in that shape; what parts are you looking at?,"""Take a look at the parts we have shaded versus the total parts. How does the number you just said match up with what you see in the drawing?""","You’re seeing one-fifth. Looking at that fraction, which part of it tells us the number of pieces that are actually colored in?",How did you arrive at that answer? Walk us through your thinking.
750,97,Nope.,96,"Two, two.","Walk me through how you got to two, two; if we start at five and move left two spots, what number are we standing on now?","[teacher] Let’s test that out. If you plot the point (2, 2) on our grid, does it land exactly where we drew the store, or do we need to re-count our jumps from the house?","You're picking up on those two jumps we made; if we started at five on the bottom and moved left two spaces, what number does that land us on for our first coordinate?",Can you explain how you found those coordinates based on where we landed on the grid?
821,394,Nope. Student D?,393,"624, oh, never mind.","Wait, don’t say “never mind” just yet—can you walk us through how you arrived at 624?","Hold on, don't take it back just yet. What did you notice about the question that made you say ""never mind""?","""You found the exact total of 624, so if we are looking for an estimate, how can that number help us figure out which numbers we should round to get close to that answer?""","How did you arrive at 624, and how can that number help us figure out ""about"" how many miles she hiked?"
821,584,"Nope. What do you need to multiply, Student T?",583,you need to multiply 400 times –,"400 times... tell us more about your thinking there, how did you decide that 400 was the number to start with?","Let’s explore that. If you start with 400, how does that connect to the dimensions we're looking at? Try to work it out and see if that path gets you to the answer.","""So you're starting with that 400—what are you seeing in the problem that suggests 400 is the number we need to multiply?""","How did you determine that 400 is the correct number to multiply, and what is your reasoning for why that leads to answer choice C?"
821,586,Nope.,585,59 times 8.,Walk me through your thinking—where did you get the 400 from?,"Walk me through your thinking—where did that 400 come from, and how does it connect to the numbers we have in our problem?",,How did you decide on 400 as one of the numbers?
826,62,Nope. Raise your hand. Student C?,61,One half.,"""That's interesting—since length times width gives us the area of the base, what third measurement do we need to include to find the volume of the whole shape?""","""Let’s think about that. If length times width already gives us the area of the bottom layer, how would multiplying by 'one half' or 'area' help us reach the top of the box? Take a look at the cube on the board and see if you can find what's missing.""","""You're right that length times width gives us the area of the base; so if we already have the area, what is that third dimension we need to multiply by to find out how tall the object is?""",Tell me more about that; how would using area or one half help us find the total volume of this shape?
841,99,Nope. I’m thinking of one word that was a key word. Student A?,98,I think it was how many times does ?,"How does asking ""how many times"" help you decide what to do next with those numbers?","""Let’s test that 'how many times' logic. If you use that approach on this specific problem, what result do you get, and does it help us keep the relationship between the numbers the same?""","""Exactly, 'how many times'—when we ask how many times one number fits into another, what does that tell us about the relationship between those two numbers?""","How does asking ""how many times"" help you explain the relationship between those two numbers?"
998,159,Nope.,158,X 5 7.,I see you're picking out the 5 and the 7; can you explain how you're connecting those two numbers to the next step of the problem?,"If you try multiplying those two first, how does that fit with the order of operations we have on the board?","I see you're looking at that 5 times 7; based on our order of operations, what tells us whether we should do that multiplication next or look for something else first?",How did you decide that multiplying the five and the seven is the next step we should take?
1101,315,Nope.,314,7 on top of 7 at the bottom.,Can you point to those for me and explain how you’re deciding to group them together in that column?,"Go ahead and try adding those two 7s; where would that 14 go in your columns, and how does that work with the number we just carried over?",I see the two 7s you're looking at—how are those two numbers working together in that column?,How did you decide that those two 7s are the numbers we should be adding together right now?
1140,155,Nope.,154,It would be negative -,What are you seeing in the expression that makes you think the result would be negative?,"Walk me through your thinking there—if you start with that negative, how does that fit into the order of operations we’re following?",You’re noticing that negative sign; walk us through how you’re combining that negative six with the next part of the expression.,Walk me through your thinking—how did you decide it should be negative?
2056,6,"Nope, Student B?",5,Two and two-tenths.,[teacher] Walk me through your thinking on that one—how did you arrive at two and two-tenths?,"Walk us through your process for that one. If you were to check that answer against the original fraction in the problem, does it match up exactly, or do you notice a difference?","Two and two-tenths. Student B, looking at the work you did, how does your answer compare to the two-tenths Student M found?",How did you arrive at that answer? Walk us through the steps you took to get there.
2396,220,Nope.,219,You can always go with the following numbers; the dollars. Or you can go $3.00 plus $1.00 –,[teacher] Interesting—how would starting with those whole dollar amounts help us find the change from the $8.15?,"[teacher] If we keep adding those dollars up, what will that new total represent—the money she spent or the change she gets back?",So you’re looking at the whole dollar amounts like the $3.00 and $1.00; how could focusing on those dollars help us set up the subtraction we need to find the change?,How would adding those dollar amounts together help you figure out the change she gets back from the $8.15 she spent?
2405,278,Nope. It’s one of – it’s -,277,Eighteen?,Tell me how you’re seeing eighteen there.,"If you label that part 18, and the other side is the same size, what would your total be?","You're seeing 18 there—if we take that 18 and split it right where you pointed, what would each of those new parts be?",How did you decide that this part of your drawing represents 18?
2628,98,Nope. 6 plus 8!?,97,28.,"""You mentioned 28 for the whole shape—can you walk us through how you're using the 6 and the 8 to get to that total?""","[teacher] I see 28 is your total for the whole shape. If you just add this 6 and this 8, try that calculation and tell me how that sum fits into your plan for the rest of the sides.","So you’ve already found that the total is 28. Since you mentioned putting that 6 on the bottom and filling in the other side, how did you combine all those numbers to reach 28?",How did you use the 6 and the 8 to arrive at a total of 28?
2944,340,"Go to your next rectangle. Nope. I want half. I want to see halves. Go to your next rectangle. Okay. I’m waiting for you. Find the new way so that Student M and Student A, you could both have an equal amount of that candy bar, okay? Well, you know what? You’re not at your next rectangle yet, so here. . I’m going to get a different, not chocolate bar – example for people, okay? It will be pizza, okay? Let’s see. I want to see another way to make one-half on your papers. Student M, shh. Are we done, girls?",339,You can do two-sixths.,"Two-sixths? Tell me more about how you’re seeing that. If we used two-sixths, how many squares would Student M and Student A each end up with?","Interesting idea. Go ahead and try to mark those two-sixths on your rectangle. Once you have them, count up the square units for each person and see if Student M and Student A ended up with an equal amount of the twenty-four total squares. Does that give us the half we're looking for?","""Two-sixths? If you mark out two rows of six squares, how many total pieces would that give each person, and how can we check if that amount is exactly half of our twenty-four?""",Tell me more about that. How would two-sixths show that both students are getting an equal half of the twenty-four squares?
4001,183,And – nope. What’s the other? A quadrilateral.,182,And a rhombus.,A rhombus? What features do you see in that shape that make you think it’s a rhombus?,"A rhombus? Take a look at the side lengths of that shape—if it were a rhombus, what would have to be true about all four of them?","""A trapezoid and a rhombus—since you’re noticing those four-sided shapes, what is the broader name we use for any figure that has exactly four sides?""",What features of the shape tell you that it's a trapezoid and a rhombus?
4661,585,"No, no, no. Nope.",584,eight.,Tell me more about that eight; what were you thinking when you looked at those bottom numbers?,"Tell me more about that eight. If we changed the bottom to eight, how would those two-eighths compare to the two-fourths we have sitting right here?","I see you're thinking about eight because of those two fours. If we have these two fourth-sized pieces together, what would happen to the size of our pieces if we changed the name to eighths?",How did you get eight? Tell me more about your thinking there.
4727,79,Don’t yell out. Nope.,78,a graph.,A graph? That’s an interesting connection. What part of a graph are you thinking of when you see a ray?,"""A graph? Walk me through that. If you were to draw a ray on your graph, what would it need to look like to show it starts at one point and goes on forever?""","A graph, okay! What part of a graph makes you think of a ray?",How does a graph remind you of a ray?
4727,621,Nope.,620,"Yeah, minus.","And since it’s minus, how does that help you explain the fact you were starting to tell us about?",Go ahead and try it as subtraction—what does that result tell you about the relationship between those two numbers in this problem?,"So if we are looking at 32 minus 8, what does that subtraction tell us about the relationship between those two values?",What is your reasoning for why subtraction makes sense in this context?
5,403,"That’s wrong. You need to fix that, honey. It’s 37 and one half percent.",402,One -and-a-half.,One-and-a-half? Tell me more about how you arrived at that number—what steps were you taking to connect that to the three-eighths?,"[teacher] Take a look at that one-and-a-half and compare it to the thirty-seven and a half percent we just talked about. How do those two numbers relate to each other, and what does that tell you about the step you just took?",You’ve got one-and-a-half. How can we use that one-and-a-half to help us explain the connection to thirty-seven and a half percent?,How did you get one-and-a-half? Walk me through the steps you took to get that answer.
134,248,"That means that it’s done wrong, because you’re not concentrating. This is not about how fast you are, how efficient you are. Look at somebody’s paper, because you’ve got to explain to me how did you get the surface area. Look – look at the numbers, eight, 10, six, okay, and think about the surface area, surface area. If this is this, think about surface area.",247,Done.,You’ve got an answer already? Talk me through your thinking—how did you use those dimensions to find the area of each surface?,"""Since you finished so quickly, I want you to test your answer. Look at the dimensions—eight, 10, and six—and think about how many flat faces this shape actually has. If you were to wrap this whole shape in paper, would your total cover every side? Try to map out each surface and see if your method accounts for all of them.""","You’re finished already? Since you’ve got it, walk me through your process—how did you use those dimensions of eight, 10, and six to find the surface area, and how did you decide which unit of measurement to use for your answer?","You’ve got it already? Walk me through your thinking: how did you use those dimensions—the eight, ten, and six—to calculate the total surface area, and why did you choose the specific unit of measurement for your final answer?"
150,188,"Oh, no, there’s more than four. You guys are wrong. How many’d you have?",187,Four but she fixed it.,"Interesting, tell me more about how you found those four—which parts of the cube were you looking at?","""You found four. Try holding the cube and putting a finger on each flat side as you count them. Are there any sides left over that didn't get a finger?""",So she found four and then fixed it—what did she notice about the cube that helped her find the ones you were missing?,"How did you decide there were four, and what did she do to ""fix"" the count?"
184,82,"No, it's wrong. Look at what it says under mixed review. What's that one little word with an ""e""?",81,"No, I did.","I see, so you calculated the exact answer. How does your result compare to the estimate of 100 we just worked out together?","Take a look at your exact answer and compare it to our estimate of 100. Based on the time and steps it took you to get there, why do you think the instructions are asking us to round instead?","""You went ahead and found the exact answer! Now that you have that specific number, how does it compare to the estimate of 100 we just found together?""","Why did you decide to find the exact answer, and how does it help you determine if our estimate of 100 is reasonable?"
265,127,"What did you get? He's doing it wrong. You’ve got your radius. You need another paper. You need to start working here. This is too confusing. Okay. Start cleaning up. One, two, three, eyes on me.",126,22.4.,"22.4? Walk me through the steps you took to reach that number, and let's see how those calculations connect back to the formula you were using.","[teacher] You got 22.4, but you’re noticing it doesn’t match your partner's result. Before we clean up, I want you to look at your formula and your partial products again. Compare your steps side-by-side—can you find the exact moment where your two calculations started to go in different directions? See if you can figure out which step changed the outcome.",22.4? Interesting. How did you and your partner use the radius in your formula to come up with that result?,How did you arrive at 22.4? Can you walk me through your calculation and explain how your steps connect back to the formula you were using?
324,181,"No that’s wrong, you did Pi times 6, you didn’t square it. Okay, Pi times 36 so you made a computation error. You’re really course you just.",180,Yeah.,"I see. Since you used 36 for the radius squared, walk us through the steps you took to multiply that by Pi so we can see how you arrived at 113 and 4 tenths.","""You have 113.4. I want you to test that by multiplying 3.14 by 36 and then by 6. Look at those two answers and see which one actually matches the work you have on your paper. What does that tell you about the steps you took?""","So if you used Pi times 36, but we have a few different answers for the total, can you walk us through the steps you took to multiply those two numbers together?",Can you walk us through your calculation—how did you arrive at 113.4 after multiplying Pi by 36?
519,88,"There is no 19.2. You got it wrong there. The answers are given to you right here. If the answer is not in here, you know that you got it wrong, okay. Quick, you have two more minutes. Let's go. And turn to the person next to you and discuss your answers please.",86,And they're right.,I see you arrived at 19.2. Can you talk me through how you calculated that? I’d like to understand the steps you took to get to that specific number.,"[teacher] I see you got 19.2, but take a look at the list of possible answers we have here. Since 19.2 isn't one of the options, I want you to look back at your steps. Where do you think your calculation might have taken a different turn from the answers provided? Try to re-trace your process and see if you can find that gap before you check in with your partner.","I see you’ve got 19.2. Tell me more about your process—how did you combine those numbers to arrive at 19.2, and how does that help us find the total we're looking for here?",I see you have 19.2 there. Can you walk me through your steps and explain how you arrived at that specific number? What was your process for combining those values?
555,543,"Well, you know what, I’m curious, no. You may not. It’s not gonna go together. I can prove you wrong 100 percent of the time on that one.",542,"Oh, poop. Can I still try to do it this way?","I’m curious to see your approach. If you try it that way, how do you think those edges will connect to form the cylinder shape?","Go ahead and try your way first. As you’re building, pay close attention to where the side meets the base—see if you can find a way to make those edges stay together without the tabs.","I’m interested to see how that might work—if you try it your way without those individual folds, how do you think that’s going to change the way the round part of the cylinder connects to the flat base?",Walk me through your thinking—how do you plan to get those edges to line up and stay together to form the cylinder if you do it that way?
620,80,That’s wrong. Following directions. Yes?,79,I could have found one <inaudible>,Tell me more about that—how would you have used that one to find the answer?,"Try that out—if you use that method, how does it change the order of our list, and does it still follow the rule of least to greatest?","You found another one? Tell us which one you're looking at, and how would that word change the order we just made?",How would finding it that way help you justify your answer based on what the directions are asking for?
658,376,Excuse me? Well they're wrong. Go back and do them again.,375,I'm done with them.,,"""You feel finished? Before you put it away, try multiplying your answer back to see if it brings you exactly to your starting number. If it doesn't match, see if you can figure out where that leftover remainder went.""","Since you've finished those, walk me through your thinking—how did you decide what to do with the remainder once you reached the 24?","""Before you put those away, walk me through your steps for the last problem and explain how you decided what to do once you reached the remainder."""
796,59,"Yes, it's wrong. Just put it here. Honey, why wouldn't you use common sense and go around? It's really not that hard. I'm ready to give checks for not turning off your voices. I've already counted down and you're still running your mouths. Okay. We're about to watch two different brain pops. It's a review on decimals. You will do the quiz at the end for a grade, so I suggest you pay attention. I will let you watch it twice. You're not leaving today. I'm sorry. You guys have missed too many video tapings. Let's go ahead and turn off the light. Don't worry. I'll turn it up. I'll rewind it in just a second.",58,"Is this wrong or right, because—","I’m interested in that ""because""—tell me more about your thinking there. What was your process for arriving at that answer?","I’m interested in that ""because."" Before I tell you if it's right or wrong, I want you to look at the value you wrote down and compare it to the words in the problem. If you were to draw this out on a place value chart, would it match ""twenty and five tenths""? See if you can find where your digits and the words might be disagreeing.","""I’m glad you’re looking closer at that one. Tell me more about your 'because'—what was your reasoning for that answer, and how does it help us understand where the decimal should be placed?""","Tell me more about your ""because""—walk me through your steps and explain how you decided where to place the decimal point in that number."
867,180,"No, I don't think he is. You've got the wrong answer.",179,You have six sixths. That's a 2.,"Tell me more about that—how do those ""six sixths"" help you find the factors of 12?","Take a look at your bug legs. If you multiply that pair together, does it bring you back to 12 like the other factors do? Test it out and see if it fits the pattern.","""You're thinking about how six and two relate to each other—how does that pair help us find the legs for our factor bug for 12?""","Can you explain your thinking there—how does six sixths result in two, and how does that connect back to the factors of 12?"
910,14,"I think you maybe rewrote it wrong. Student E, what do you get?",13,I –,Tell me more about how you arrived at that. Walk us through the steps you took to get one and five fourths.,"Take a look at that fraction part, five fourths. If you know that four fourths makes one whole, what does that tell you about your total, and how might you adjust your answer?","[teacher] One and five fourths. Since that five fourths is actually more than one whole, how could we regroup that to find the total number of wholes we have now?",Can you talk us through your process for that one? How did you arrive at five fourths?
910,79,"Good, four and seven ninths. These are like the give me problems. You better never get wrong. Student S, eleven.",78,Four and seven ninths.,That’s four and seven ninths—can you walk us through the steps you took to turn that improper fraction into a mixed number?,"Four and seven ninths. How can we check that? Try working backward to see if you can get back to the original improper fraction. If it doesn’t match, look at your remainder and see if you can figure out where the gap is.","Four and seven ninths. Looking at that remainder of seven, how did you know that it wasn't enough to make one more whole group of nine?",How did you figure that out? Can you walk us through the steps you took to turn that improper fraction into four and seven ninths?
910,277,"No, you got it wrong. Dude, think about it. Man, you’re gonna kick yourself. All right, I will give – I will pass along while you’re working. So Student R, what’d you come up with?",276,4.,[teacher] Interesting—walk me through your thinking there. How did you arrive at 4 using the variables we were just looking at?,"""Okay, let's test that 4. If you plug it back into your equation, does it balance out with the X we started with? Take a look and see if it holds up or if you notice a gap when you try to make it work.""","[teacher] You’re seeing a 4. Help us understand how that 4 relates to the Y we were just discussing—what’s the connection you’re seeing there? Student R, how does that 4 change the way you’re looking at the rest of the equation?",How did you arrive at 4? Walk me through your thinking and show me how that fits with the rest of the equation.
924,209,You gave me the wrong answer already. Who's next over here? Student S?,208,Six and two sixths?,"""Tell me more about how you reached that—what was your process for subtracting the fractions?""","[teacher] Let's look at those fractions for a second. If we change one-half into three-sixths, how are you taking five-sixths away from it? I'll give you a moment to look at that part and see if you want to adjust your strategy.",Six and two sixths—I see you're working with sixths there. How did you handle subtracting that five-sixths from our original one-half to get that result?,How did you come up with six and two sixths? Can you walk us through the steps you took to get that?
924,225,No. Back over here. Who's over here? Should you all continue to work if you got the same wrong answer that someone else has given? Should you keep working at it?,224,One and forty-eight hundredths.,I noticed you have forty-eight in your answer; can you explain the steps you took to get to one and forty-eight hundredths?,"You both came up with answers close to 1. Let’s look at our starting number, 8. If we are dividing those 8 wholes into groups that are each smaller than 1, like five-sixths, does it make sense that we would end up with only about one group? Take another look at your work and see if your answer should be larger or smaller than the 8 we started with.","I see where you're getting forty-eight from. If we know that eight times six is forty-eight, how does that forty-eight help us figure out our final answer for eight divided by five-sixths?",Walk me through your thinking—how did you arrive at one and forty-eight hundredths from eight divided by five-sixths?
934,168,"Well, you need to fix that. That’s wrong. Hang on. Fix that one and then you can go do centers. Student Z, I don’t like that. There you go, centers. You just cut the whole line. Hang on, I'm sorry. I guess I was not clear. You need to clean up before you go do centers. So all of your scratch paper that you used, all of your book, your pencil—hang on, please. Oop, you forgot something ‘cause you were rushing. You forgot—on this one, you forgot something because you were rushing I think. Now you can go. Yeah, the backside’s homework. All right, you need to be careful with your zeros. Think of the place for this, place value for the two. It’s not two million. There you go. Back for homework. You didn’t do this one, five million.",167,My zeros separate.,Tell me more about how those zeros are separating the numbers—how does that help you decide what the value of that six is?,"""I see. If you use those zeros to separate them, try adding all those pieces—the 8,000,000, the 6, and the 1—back together on your scratch paper. Does that total match the number at the top of the page? See if you can figure out where that 6 lands when you add them up.""","I see, so you’re using those zeros to separate the different parts of the number. If those zeros are separating the six from the ones place, what does that tell us about which place value the six is sitting in?",Can you explain how those zeros separate the values for you? How does that help you decide what the six and the two are worth in those specific places?
995,55,"No, you did not follow these steps and you got the answer wrong. Student C got up and got a piece of scratch paper to make his chart to keep his work organized. I knew I was gonna get somebody.",54,Done.,"""That was quick! Can you walk me through the steps you took to find those values and make sure you didn't get tricked?""","[teacher] You finished fast! Before I check your work, take another look at those last two and see if your answers still hold up when you check the value of each digit. Is there anything there that might have tried to trick you, or does every number land exactly where you expected it to?","You're already done? Tell us, what was your strategy for breaking down those last two numbers so quickly?",Walk me through your thinking for those last two—how did you determine the value of each digit to make sure you didn't get caught by the trick?
995,201,"I’m glad that you’re saying it’s really easy, but don’t forget there’s a reason we’re practicing this, ‘cause it wasn’t easy when you took that quiz and got those questions wrong.",200,"This is pretty easy. It’s, like, this is standard notation.",It sounds like you’ve really grasped how standard notation works—what is it about the way these numbers are built that makes the process feel so clear to you now?,"Since it feels easy, try writing that 4,000 plus 800 plus 3 in standard form. Before you pack up, look at your answer and see if it still has a digit in the thousands place, or if the missing tens place changed the value of your 4.",You’ve identified that as standard notation—what is it about that specific format that helps you see the answer so quickly compared to when we break the numbers apart?,"Since you’ve identified that as standard notation, how are you connecting those expanded parts to the final number to make the process feel so easy for you?"
1058,177,Okay. You saying it wrong.,176,For parenthesis?,"So if the P stands for parentheses, what does that underline tell us about its place in the order of operations?","It does stand for parentheses, but try to solve the problem starting with a different operation first. What happens to your final answer, and why do you think we need that ""P"" to be underlined as our first step?","Exactly, it’s for parentheses—so why do you think we underline that first step before we move on to the rest of the problem?",And why does the order of operations tell us we have to start there instead of with one of the other steps?
1099,135,You spelled wrong.,134,"Look at my house, Teacher.",I see your design! Can you walk me through how you decided on the dimensions for these different rooms?,"I see your design! Take a look at the measurements you wrote down—if you were to actually step inside a room with those dimensions, do you think you would have enough space to move around, or do we need to check those numbers against our scale?","I see your house! Looking at your drawing, what dimensions did you decide on for the length and width of that space?",Tell me more about your design—how did you decide on the dimensions for these different rooms?
1101,266,Wrong. I said up here. You always start up here.,265,Yes. That one is 2.,Tell me more about how you’re seeing those two places and how that brings you to a total of three.,"[teacher] Go ahead and move it 2 places. Then, look back at the original numbers at the top and tell me if that placement accounts for all the decimal spots you see there.",I see you're looking at the 2 in that number; how does that 2 help you figure out that we need to move the decimal three places in total?,How did you come to that conclusion? Walk me through your thinking using the numbers up here to show me how you're counting those places.
1140,86,"Look. This was the one that – negative, minus positive –here’s your negative, right? Five – negative five, minus three, minus four, equals five. And that becomes plus. Yes, you’re wrong.",85,Positive eleven.,"""Walk me through your thinking there—how did you use the signs and the order of operations to arrive at positive eleven?""","I’m hearing both positive and negative eleven. Take a look at the expression again: if we're starting at negative five and then subtracting three and four, how would that movement look on a number line? Try to map that out and see if your result matches where you land.","""You’re seeing a positive eleven there. Walk us through your thinking—how did you combine those signs to arrive at a positive eleven?""","""Walk me through your thinking there—how did you combine those values to arrive at positive eleven?"""
2039,306,"Yeah. That's wrong. Just write one. All right, got scores? Give those back to the person you graded so they can see it. Double check it, make sure there's not any questions. Go ahead and check it. If you don’t have any questions, go ahead and tear it out carefully and hold it up in the air for me. Once you’ve done that, clear your desk of everything but your dry erase board and your math book. Yeah?",305,So that's wrong?,Tell me what they wrote on the paper. How does their answer compare to the sixteen thousand we just found together?,"[teacher] Take a look at the place values you used there. If you add those two numbers together one more time, does your total match the logic we just used for the other problems? Try to walk through your steps and see if you can spot where the numbers might be bumping into each other.","[teacher] It doesn’t match sixteen thousand, does it? Based on what we just talked about with ten thousand plus six thousand, what do you think happened in their calculation that led them to a different number?",What makes you say that? Can you explain the logic they might have used to get that answer and why it doesn't match the sum of ten thousand and six thousand?
2058,197,"Student S, that was just wrong.",196,That’s what I did yesterday.,"[teacher] I see, so tell me more about how that strategy from yesterday helps you solve this specific problem today.",Go ahead and test that strategy with today’s numbers and see if the result you get still holds up against the goal of this problem.,"So, if you’re using that same strategy from yesterday, how does crossing out those alternate numbers help you narrow down the correct answer for this problem?",Can you explain the logic behind crossing out those alternate numbers and how that strategy leads you to the solution?
2058,262,"Same problem with all the ones that I see that are not correct, except for you two guys. You guys counted wrong.",261,Which space?,"""That’s a good question to ask. Can you show me which spaces you decided to count and walk me through the strategy you used to get your total?""",Take another look at the spaces you've marked and compare them to your total count. How can you test your result to make sure every single spot has been accounted for?,"""When you're looking at that space, how are you deciding where to start and end your count?""",Can you walk me through how you arrived at that number? What was your strategy for counting the spaces to make sure you didn't miss any?
2235,386,Out of—my whole classroom is wrong. Alright let’s round up. Excellent Student T. So give me one thing that you learned about equivalent fractions. Student E don’t say they’re equal.,385,12.,[teacher] 12? Talk me through how you’re seeing those 12 pieces in your drawing and how that changed from the original slices we had.,"Student E, you’re thinking they are equal. But look at our 4/12—we have more pieces now than we started with. If the numbers are different, how can the value stay the same? Take a look at your drawing and see if you can explain how those four small pieces compare to the one big piece we had before.","So we have 4 out of 12 pieces now. Since you sliced every single piece to get to that 12, how does this new fraction of 4 out of 12 help us see that the total amount of blue hasn't actually changed?",How did you arrive at 12? Walk us through your thinking about how those slices changed our total number of pieces.
2369,238,"Right. Yours is wrong. Your calculator's not working right. That's why you add it first, then use a calculator to check it. Really, you don't need the calculator. 13,070. Okay. You don't always trust calculators, especially these calculators, because they have quirky things with them. All right. Just like the computer, you never know. Here's what I want you to do right now. Based on what you know – I know you don't know how much the rest of the items are, but on the very bottom of this piece of paper, right now it's already costing us $13,000.00 to buy all these items, okay? I want you to write an estimate at the bottom of this page, and I want you to estimate how much you think it's going to cost us to buy all of these, okay? Then listen to me very carefully. My class has a benchmark tomorrow. Actually most of you all, because we're taking it right now. Then we meet back on – no we won't. Thursday? No. We'll meet back on Friday and we'll finish it. Listen carefully. If you want to get the prices – look at me – on the bottom of your paper, here's what you can write. You can write PNC Christmas Price Index. This will be extra credit. If you come in the next time I see you, which will be Friday, and you have the prices of each one of the items, PNC Christmas Price Index – you Google it and you can go to there – make sure you go to the 2011 ones. We are not finished. Good bye. Okay. If you Google that, it will take you to this little PowerPoint thing, and you can get all the prices. Only get the prices for the items there. I don't want you to figure out how much each one—",237,"9,470 plus 3,600.","Okay, those are the correct numbers. Looking at the thousands place, if we have 9,000 and we add 3,000, what does that tell us about what our total should be? Walk us through your thinking—how did you combine those two amounts to get your total?","You came up with 10,370. Before we move on, I want you to look at those two numbers again: 9,470 and 3,600. If you just look at the thousands place, does 10,000 seem like it's enough to cover both of those? Try to test that total again or break the numbers apart by hand. See if you can figure out why your current total might be a little lower than what we’d expect.","Okay, so we’re starting with your 9,470 and adding 3,600. If we know that 9,000 plus 3,000 already gets us to 12,000, what does that tell us about where our final total is going to land once we add in those remaining hundreds?","Walk us through your thinking on that. How did you combine 9,470 and 3,600 to reach 10,370, and how can we use the thousands place to check if that total is reasonable?"
